Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infra-specific name]	Term Source REF	Term Accession Number	Characteristics[Line]	Term Source REF	Term Accession Number	Protocol REF	Characteristics[Rwness]	Term Source REF	Term Accession Number	Characteristics[Shape]	Term Source REF	Term Accession Number
source220	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 70			sample collection	6			w		
source221	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 71			sample collection	6			w		
source222	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 72			sample collection	6			w		
source223	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 73			sample collection	6			r		
source224	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 74			sample collection	6			r		
source225	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 75			sample collection	6			r		
source226	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 76			sample collection	6			w		
source227	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 77			sample collection	6			w		
source228	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 78			sample collection	6			w		
source229	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 79			sample collection	6			r		
source230	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 8			sample collection	2			r		
source231	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 80			sample collection	6			w		
source232	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 81			sample collection	6			r		
source233	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 82			sample collection	6			w		
source234	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 83			sample collection	6			r		
source235	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 84			sample collection	6			w		
source236	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 86			sample collection	2			w		
source237	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 87			sample collection	6			r		
source238	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 88			sample collection	6			r		
source239	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 89			sample collection	2			w		
source240	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 9			sample collection	2			w		
source241	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 90			sample collection	2			w		
source242	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 91			sample collection	6			r		
source243	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 92			sample collection	6			w		
source244	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 93			sample collection	6			w		
source245	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 95			sample collection	6			w		
source246	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 96			sample collection	6			w		
source247	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 97			sample collection	6			w		
source248	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 98			sample collection	6			r		
source249	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 99			sample collection	2			w		
source250	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	POMO	EURISCO		POMO			sample collection	6			w		
