Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infra-specific name]	Term Source REF	Term Accession Number	Characteristics[Line]	Term Source REF	Term Accession Number	Protocol REF	Characteristics[Rwness]	Term Source REF	Term Accession Number	Characteristics[Shape]	Term Source REF	Term Accession Number
source52	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 80			sample collection	6			r		
source53	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 84			sample collection	6			w		
source54	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 85			sample collection	6			w		
source55	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 89			sample collection	6			w		
source56	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 9			sample collection	2			r		
source57	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 91			sample collection	6			r		
source58	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MP	EURISCO		MP 98			sample collection	2			w		
source59	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 1			sample collection	6			r		
source60	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 10			sample collection	6			r		
source61	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 100			sample collection	6			w		
source62	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 101			sample collection	2			w		
source63	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 102			sample collection	2			r		
source64	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 103			sample collection	2			r		
source65	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 104			sample collection	2			r		
source66	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 105			sample collection	6			r		
source67	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 106			sample collection	2			r		
source68	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 107			sample collection	2			w		
source69	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 108			sample collection	6			r		
source70	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 109			sample collection	2			w		
source71	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 11			sample collection	2			r		
source72	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 110			sample collection	6			w		
source73	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 111			sample collection	6			r		
source74	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 112			sample collection	2			w		
source75	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 113			sample collection	2			r		
source76	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 114			sample collection	6			r		
source77	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 115			sample collection	2			w		
source78	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 116			sample collection	2			r		
source79	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 117			sample collection	6			w		
source80	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 118			sample collection	6			w		
source81	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 119			sample collection	2			w		
source82	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 120			sample collection	2			r		
source83	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 121			sample collection	6			r		
source84	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 122			sample collection	2			w		
source85	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 123			sample collection	2			w		
source86	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 124			sample collection	6			w		
source87	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 125			sample collection	2			r		
source88	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 126			sample collection	2			r		
source89	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 127			sample collection	2			w		
source90	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 128			sample collection	2			w		
