nr.pol	powt	population	genotyp	l.k³	l.ziarn	waga z.	d³.k³ 20	d³.k³	lzzk	wzzk	ctn	plon (g)	wys	wyleg	data k³	data kw	rwness	shape
1727	III	MP	MP6	20	351	17	137	6,85	17,55	0,85	48,43	220	62	0	14	19	2	r
982	I	MP	MP60	20	1386	41,23	121	6,05	69,3	2,06	29,75	150	50	0	19	22	6	r
1422	II	MP	MP60	20	1207	32,28	111,5	5,58	60,35	1,61	26,74	100	45	0	17	23	6	r
1778	III	MP	MP60	20	1191	33,46	102,5	5,13	59,55	1,67	28,09	125	47	0	16	22	6	r
1082	I	MP	MP61	20	1085	34,65	120	6	54,25	1,73	31,94	170	70	0	16	22	6	r
1313	II	MP	MP61	20	1275	47,01	115	5,75	63,75	2,35	36,87	230	71	0	19	23	6	r
1715	III	MP	MP61	20	1171	34,19	111	5,55	58,55	1,71	29,2	200	66	0	16	21	6	r
1170	I	MP	MP62	20	509	25,58	194	9,7	25,45	1,28	50,26	280	64	0	13	19	2	r
1292	II	MP	MP62	20	506	24,22	187	9,35	25,3	1,21	47,87	300	64	0	13	18	2	r
1521	III	MP	MP62	20	493	24,33	179	8,95	24,65	1,22	49,35	290	62	0	13	19	2	r
1183	I	MP	MP63	20	1244	40,51	128	6,4	62,2	2,03	32,56	210	66	0	14	19	6	r
1258	II	MP	MP63	20	1159	36,14	109	5,45	57,95	1,81	31,18	220	63	0	19	24	6	r
1611	III	MP	MP63	20	1099	34,36	114	5,7	54,95	1,72	31,26	215	62	0	16	22	6	r
1065	I	MP	MP64	20	1115	38,48	161	8,05	55,75	1,92	34,51	200	74	5	14	22	6	w
1287	II	MP	MP64	20	1014	29,13	143	7,15	50,7	1,46	28,73	170	78	3	12	16	6	w
1593	III	MP	MP64	20	1068	40,78	153	7,65	53,4	2,04	38,18	185	82	5	14	19	6	w
1182	I	MP	MP65	20	491	25,07	173	8,65	24,55	1,25	51,06	200	93	0	12	19	2	w
1317	II	MP	MP65	20	460	22,79	164	8,2	23	1,14	49,54	300	94	0	12	17	2	w
1607	III	MP	MP65	20	481	25,56	171	8,55	24,05	1,28	53,14	250	86	0	11	18	2	w
1099	I	MP	MP66	20	389	21,3	121	6,05	19,45	1,07	54,76	140	70	0	19	23	2	r
1446	II	MP	MP66	20	401	22,56	129	6,45	20,05	1,13	56,26	170	68	0	16	21	2	r
1781	III	MP	MP66	20	367	20,84	130,5	6,53	18,35	1,04	56,78	155	70	0	15	21	2	r
1020	I	MP	MP67	20	460	25,54	128	6,4	23	1,28	55,52	250	93	3	13	18	2	w
1442	II	MP	MP67	20	444	23,51	119	5,95	22,2	1,18	52,95	200	86	0	16	20	2	w
1746	III	MP	MP67	20	456	24,01	120	6	22,8	1,2	52,65	225	89	0	14	21	2	w
1003	I	MP	MP68	20	494	25,79	152,5	7,63	24,7	1,29	52,21	200	87	0	14	18	2	w
1445	II	MP	MP68	20	509	26,65	146,5	7,33	25,45	1,33	52,36	150	74	0	13	18	2	w
1760	III	MP	MP68	20	485	25,78	142	7,1	24,25	1,29	53,15	175	79	0	11	17	2	w
984	I	MP	MP69	19	1191	43,73	156	8,21	62,68	2,3	36,72	350	66	0	18	20	6	r
1447	II	MP	MP69	20	1340	44,11	158	7,9	67	2,21	32,92	300	69	0	19	21	6	r
1653	III	MP	MP69	20	1084	38,98	132	6,6	54,2	1,95	35,96	325	65	0	16	19	6	r
1031	I	MP	MP7	20	528	24,38	151	7,55	26,4	1,22	46,17	100	73	0	15	18	2	w
1498	II	MP	MP7	20	491	22,38	145	7,25	24,55	1,12	45,58	170	73	0	13	19	2	w
1643	III	MP	MP7	20	506	23,67	157	7,85	25,3	1,18	46,78	135	79	0	12	18	2	w
990	I	MP	MP70	20	1141	33,01	123	6,15	57,05	1,65	28,93	250	74	0	14	19	6	w
1421	II	MP	MP70	20	1423	48,08	143,5	7,18	71,15	2,4	33,79	190	62	0	17	21	6	w
1750	III	MP	MP70	20	1163	38,33	112	5,6	58,15	1,92	32,96	220	68	1	14	19	6	w
1089	I	MP	MP71	20	1024	39,98	118	5,9	51,2	2	39,04	200	86	1	11	17	6	w
1295	II	MP	MP71	20	866	31,3	99,5	4,98	43,3	1,57	36,14	200	82	0	10	17	6	w
1635	III	MP	MP71	21	1156	43,85	127	6,05	55,05	2,09	37,93	200	83	2	11	17	6	w
1073	I	MP	MP72	20	1111	40,15	120	6	55,55	2,01	36,14	240	89	3	14	20	6	w
1271	II	MP	MP72	20	1191	42,29	124	6,2	59,55	2,11	35,51	200	83	0	14	17	6	w
1637	III	MP	MP72	20	1210	42,69	127	6,35	60,5	2,13	35,28	220	83	0	15	19	6	w
1172	I	MP	MP73	20	1102	32,8	123	6,15	55,1	1,64	29,76	230	71	0	12	18	6	r
1305	II	MP	MP73	20	1164	36,54	120,5	6,03	58,2	1,83	31,39	300	63	0	12	19	6	r
1631	III	MP	MP73	20	743	21,21	113	5,65	37,15	1,06	28,55	265	65	0	12	17	6	r
1095	I	MP	MP74	20	1014	39,18	138	6,9	50,7	1,96	38,64	200	65	0	14	19	6	r
1497	II	MP	MP74	20	1251	42,59	145	7,25	62,55	2,13	34,04	240	60	0	15	20	6	r
1656	III	MP	MP74	20	1105	40,85	140	7	55,25	2,04	36,97	220	56	0	16	19	6	r
1040	I	MP	MP75	20	1165	40,41	167	8,35	58,25	2,02	34,69	250	65	0	17	21	6	r
1420	II	MP	MP75	20	1139	37,67	163	8,15	56,95	1,88	33,07	250	64	0	17	19	6	r
1654	III	MP	MP75	20	1100	38,91	141	7,05	55	1,95	35,37	250	60	0	16	19	6	r
1051	I	MP	MP76	19	1150	40,91	155	8,16	60,53	2,15	35,57	200	87	1	12	18	6	w
1306	II	MP	MP76	20	1139	41,49	148	7,4	56,95	2,07	36,43	260	82	2	13	18	6	w
1689	III	MP	MP76	20	1251	46,99	161	8,05	62,55	2,35	37,56	230	87	3	14	19	6	w
1153	I	MP	MP77	20	1220	48,56	162	8,1	61	2,43	39,8	200	100	4	13	20	6	w
1505	II	MP	MP77	20	1243	51,01	176	8,8	62,15	2,55	41,04	200	90	2	13	16	6	w
1604	III	MP	MP77	21	1210	47,92	107	5,1	57,62	2,28	39,6	200	90	5	13	19	6	w
1143	I	MP	MP78	20	1248	40,78	160	8	62,4	2,04	32,68	300	96	0	11	18	6	w
1266	II	MP	MP78	20	1380	45,2	172,5	8,63	69	2,26	32,75	250	91	3	11	17	6	w
1581	III	MP	MP78	20	1071	33,96	139	6,95	53,55	1,7	31,71	275	87	0	10	17	6	w
1014	I	MP	MP79	20	1032	32,32	137	6,85	51,6	1,62	31,32	250	65	0	15	20	6	r
1489	II	MP	MP79	20	965	32,83	111	5,55	48,25	1,64	34,02	200	58	0	14	18	6	r
1745	III	MP	MP79	20	1001	32,67	120	6	50,05	1,63	32,64	225	72	1	14	20	6	r
1056	I	MP	MP8	20	461	23,52	128	6,4	23,05	1,18	51,02	150	60	0	15	19	2	r
1518	II	MP	MP8	20	537	28,17	133	6,65	26,85	1,41	52,46	200	63	0	16	21	2	r
1545	III	MP	MP8	20	557	29,75	142	7,1	27,85	1,49	53,41	175	76	0	16	21	2	r
1036	I	MP	MP80	20	1149	39,06	129	6,45	57,45	1,95	33,99	250	82	1	10	17	6	w
1399	II	MP	MP80	20	1068	38,17	107	5,35	53,4	1,91	35,74	280	90	1	12	17	6	w
1741	III	MP	MP80	20	1106	38,56	120	6	55,3	1,93	34,86	265	95	2	10	16	6	w
996	I	MP	MP81	20	1313	43,39	136,5	6,83	65,65	2,17	33,05	300	59	0	19	22	6	r
1401	II	MP	MP81	20	1094	34,08	124,5	6,23	54,7	1,7	31,15	250	59	0	17	23	6	r
1732	III	MP	MP81	20	1117	39,72	138	6,9	55,85	1,99	35,56	275	46	0	16	22	6	r
1033	I	MP	MP82	20	1149	32,12	118	5,9	57,45	1,61	27,95	250	77	0	13	18	6	w
1449	II	MP	MP82	20	1204	34,89	112	5,6	60,2	1,74	28,98	310	80	0	15	21	6	w
1772	III	MP	MP82	20	1265	36,01	120	6	63,25	1,8	28,47	280	70	0	12	18	6	w
983	I	MP	MP83	20	1376	45,71	117	5,85	68,8	2,29	33,22	150	46	0	19	22	6	r
1437	II	MP	MP83	20	1294	39,56	113	5,65	64,7	1,98	30,57	130	57	0	19	24	6	r
1731	III	MP	MP83	20	1360	47,23	113	5,65	68	2,36	34,73	140	47	0	19	23	6	r
1083	I	MP	MP84	20	945	31,09	131	6,55	47,25	1,55	32,9	190	100	4	12	19	6	w
1268	II	MP	MP84	20	1266	44,28	130	6,5	63,3	2,21	34,98	220	100	5	15	18	6	w
1576	III	MP	MP84	20	1277	47,3	125	6,25	63,85	2,37	37,04	205	78	0	12	18	6	w
1156	I	MP	MP86	20	499	24,81	136	6,8	24,95	1,24	49,72	260	106	4	10	16	2	w
1300	II	MP	MP86	20	484	24,06	128	6,4	24,2	1,2	49,71	250	96	3	11	17	2	w
1629	III	MP	MP86	20	474	22,57	125	6,25	23,7	1,13	47,62	255	92	2	10	16	2	w
1154	I	MP	MP87	20	1065	33,97	131	6,55	53,25	1,7	31,9	200	63	0	18	22	6	r
1315	II	MP	MP87	20	1344	45,65	138,5	6,93	67,2	2,28	33,97	200	64	0	19	24	6	r
1716	III	MP	MP87	20	1250	37,18	126	6,3	62,5	1,86	29,74	200	57	0	16	21	6	r
1062	I	MP	MP88	20	1031	38,44	161	8,05	51,55	1,92	37,28	220	70	0	15	19	6	r
1256	I	MP	MP88	20	1239	45,84	120	6	61,95	2,29	37	210	66	0	14	22	6	r
1698	III	MP	MP88	20	1129	41,58	140	7	56,45	2,08	36,83	215	66	0	16	19	6	r
1171	I	MP	MP89	20	514	29,75	148	7,4	25,7	1,49	57,88	240	87	0	13	20	2	w
1303	II	MP	MP89	20	525	30,78	152	7,6	26,25	1,54	58,63	320	83	0	12	16	2	w
1616	III	MP	MP89	20	532	31,08	166	8,3	26,6	1,55	58,42	230	79	0	13	18	2	w
1111	I	MP	MP9	20	502	22,12	181	9,05	25,1	1,11	44,06	260	86	0	12	19	2	w
1486	II	MP	MP9	20	467	22,37	183,5	9,18	23,35	1,12	47,9	280	76	0	13	17	2	w
1661	III	MP	MP9	20	479	22,29	180	9	23,95	1,11	46,53	270	77	0	12	17	2	w
1090	I	MP	MP90	19	497	24,25	162	8,53	26,16	1,28	48,79	150	74	2	13	18	2	w
1254	II	MP	MP90	20	442	21,86	147	7,35	22,1	1,09	49,46	220	97	0	13	19	2	w
1642	III	MP	MP90	20	507	26,75	158	7,9	25,35	1,34	52,76	185	81	0	13	18	2	w
1018	I	MP	MP91	20	1074	34,73	146	7,3	53,7	1,74	32,34	250	70	0	16	20	6	r
1510	II	MP	MP91	20	1104	35,81	138	6,9	55,2	1,79	32,44	300	74	0	14	19	6	r
1672	III	MP	MP91	20	1101	35,01	140	7	55,05	1,75	31,8	275	63	0	13	18	6	r
1064	I	MP	MP92	19	1166	38,49	111,5	5,87	61,37	2,03	33,01	200	79	0	14	17	6	w
1286	II	MP	MP92	20	1090	31,29	114	5,7	54,5	1,56	28,71	190	67	0	14	19	6	w
1605	III	MP	MP92	20	1153	38,15	119	5,95	57,65	1,91	33,09	195	69	0	16	21	6	w
1102	I	MP	MP93	20	1196	43,89	158	7,9	59,8	2,19	36,7	290	83	3	13	19	6	w
1479	II	MP	MP93	20	1019	32,44	179	8,95	50,95	1,62	31,84	170	85	3	12	17	6	w
1774	III	MP	MP93	20	1341	49,63	182	9,1	67,05	2,48	37,01	230	76	3	13	18	6	w
1019	I	MP	MP95	20	1053	32,1	166	8,3	52,65	1,61	30,48	300	70	0	16	19	6	w
1414	II	MP	MP95	20	1143	37,28	123	6,15	57,15	1,86	32,62	240	67	0	13	18	6	w
1738	III	MP	MP95	20	1101	35,76	148	7,4	55,05	1,79	32,48	270	78	0	13	18	6	w
1174	I	MP	MP96	20	1255	37,06	100	5	62,75	1,85	29,53	150	66	0	18	22	6	w
1277	II	MP	MP96	20	1294	38,46	104	5,2	64,7	1,92	29,72	190	69	0	15	19	6	w
1565	III	MP	MP96	20	1200	35,4	101	5,05	60	1,77	29,5	120	84	0	13	18	6	w
981	I	MP	MP97	20	1295	51,12	138	6,9	64,75	2,56	39,47	150	72	3	15	19	6	w
1397	II	MP	MP97	20	1347	54,35	142	7,1	67,35	2,72	40,35	200	90	1	15	19	6	w
1755	III	MP	MP97	20	1181	40,6	131,5	6,58	59,05	2,03	34,38	175	83	0	14	19	6	w
991	I	MP	MP98	20	1068	32,48	117	5,85	53,4	1,62	30,41	250	68	0	18	22	6	r
1467	II	MP	MP98	20	1101	33,89	120	6	55,05	1,69	30,78	160	59	0	16	22	6	r
1786	III	MP	MP98	20	1013	30,99	119	5,95	50,65	1,55	30,59	205	63	0	16	21	6	r
1157	I	MP	MP99	20	487	24,09	174	8,7	24,35	1,2	49,47	200	98	2	11	17	2	w
1279	II	MP	MP99	20	441	21,46	159	7,95	22,05	1,07	48,66	290	103	0	11	17	2	w
1606	III	MP	MP99	20	390	24,1	171	8,55	19,5	1,21	61,79	245	90	0	9	16	2	w
1009	I	POMO	POMO	20	1258	49,44	105	5,25	62,9	2,47	39,3	250	82	0	15	20	6	w
1409	II	POMO	POMO	20	1320	48,49	109	5,45	66	2,42	36,73	270	85	0	13	16	6	w
1665	III	POMO	POMO	20	1318	49,96	110	5,5	65,9	2,5	37,91	260	80	0	14	17	6	w
