nr.pol	powt	population	genotyp	l.k³	l.ziarn	waga z.	d³.k³ 20	d³.k³	lzzk	wzzk	ctn	plon (g)	wys	wyleg	data k³	data kw	rwness	shape
1112	I	MP	MP195	20	1295	40,43	131	6,55	64,75	2,02	31,22	350	86	5	10	18	6	w
1459	II	MP	MP195	20	1235	39,18	127	6,35	61,75	1,96	31,72	240	79	0	13	17	6	w
1592	III	MP	MP195	20	1277	39,99	125	6,25	63,85	2	31,32	280	75	2	11	17	6	w
993	I	MP	MP196	20	512	24,26	142	7,1	25,6	1,21	47,38	250	89	0	14	19	2	w
1431	II	MP	MP196	20	389	21,77	143	7,15	19,45	1,09	55,96	210	72	0	14	19	2	w
1790	III	MP	MP196	20	485	23,25	130	6,5	24,25	1,16	47,94	230	78	0	14	19	2	w
987	I	MP	MP197	20	1053	33,98	138	6,9	52,65	1,7	32,27	350	65	0	14	19	6	r
1483	II	MP	MP197	20	897	27,46	131	6,55	44,85	1,37	30,61	240	73	0	14	18	6	r
1537	III	MP	MP197	20	921	30,41	125	6,25	46,05	1,52	33,02	295	80	0	13	18	6	r
1123	I	MP	MP198	20	1155	34,24	113	5,65	57,75	1,71	29,65	240	59	0	17	21	6	r
1332	II	MP	MP198	20	1148	35,47	113	5,65	57,4	1,77	30,9	180	57	0	16	21	6	r
1562	III	MP	MP198	19	863	26,48	101	5,32	45,42	1,39	30,68	210	62	0	15	21	6	r
1100	I	MP	MP199	20	1131	37,77	120	6	56,55	1,89	33,4	300	88	0	13	17	6	w
1475	II	MP	MP199	20	1138	38,61	118	5,9	56,9	1,93	33,93	320	77	0	13	16	6	w
1753	III	MP	MP199	20	1122	36,37	124	6,2	56,1	1,82	32,42	310	73	0	13	19	6	w
1021	I	MP	MP2	20	430	20,58	193	9,65	21,5	1,03	47,86	300	72	0	14	18	2	r
1508	II	MP	MP2	20	428	19,05	179	8,95	21,4	0,95	44,51	250	70	0	12	18	2	r
1751	III	MP	MP2	20	422	17,92	146	7,3	21,1	0,9	42,46	275	70	0	13	18	2	r
1141	I	MP	MP20	18	830	20,42	105,5	5,86	46,11	1,13	24,6	210	70	0	19	22	6	r
1260	II	MP	MP20	20	1187	35,88	118	5,9	59,35	1,79	30,23	200	63	0	16	21	6	r
1528	III	MP	MP20	20	905	25,43	97	4,85	45,25	1,27	28,1	205	62	0	16	22	6	r
1092	I	MP	MP200	20	445	21,51	161	8,05	22,25	1,08	48,34	150	81	1	13	19	2	w
1288	II	MP	MP200	20	483	23,25	184	9,2	24,15	1,16	48,14	200	74	0	12	17	2	w
1719	III	MP	MP200	20	496	24,81	175	8,75	24,8	1,24	50,02	175	89	0	12	18	2	w
1138	I	MP	MP201	20	533	27,06	195	9,75	26,65	1,35	50,77	190	90	4	13	19	2	w
1495	II	MP	MP201	20	663	28,73	208	10,4	33,15	1,44	43,33	280	94	1	13	18	2	w
1568	III	MP	MP201	21	553	29,37	229	10,9	26,33	1,4	53,11	235	95	0	14	19	2	w
1079	I	MP	MP202	20	330	16,59	129	6,45	16,5	0,83	50,27	300	100	4	13	21	2	w
1513	II	MP	MP202	20	415	24,25	137	6,85	20,75	1,21	58,43	250	88	0	15	19	2	w
1569	III	MP	MP202	21	398	21,8	138	6,57	18,95	1,04	54,77	275	94	0	12	19	2	w
1000	I	MP	MP203	20	1024	34,61	109,5	5,48	51,2	1,73	33,8	250	85	1	10	19	6	w
1477	II	MP	MP203	20	1284	46,72	133,5	6,68	64,2	2,34	36,39	190	86	2	11	17	6	w
1539	III	MP	MP203	20	1122	41,14	130	6,5	56,1	2,06	36,67	220	84	4	11	18	6	w
1035	I	MP	MP204	20	470	24,14	108	5,4	23,5	1,21	51,36	150	84	0	13	17	2	w
1441	II	MP	MP204	20	489	24,27	117,5	5,88	24,45	1,21	49,63	200	89	0	14	19	2	w
1723	III	MP	MP204	20	475	23,5	120	6	23,75	1,18	49,47	175	79	0	16	19	2	w
1245	I	MP	MP205	20	1263	49,71	161	8,05	63,15	2,49	39,36	200	74	0	15	21	6	r
1364	II	MP	MP205	20	1154	35,14	158,5	7,93	57,7	1,76	30,45	260	75	0	15	18	6	r
1718	III	MP	MP205	20	1017	32,27	139	6,95	50,85	1,61	31,73	230	70	0	16	19	6	r
1012	I	MP	MP206	20	1044	27,15	140	7	52,2	1,36	26,01	250	67	0	16	22	6	r
1440	II	MP	MP206	20	1012	28,66	151	7,55	50,6	1,43	28,32	280	73	0	16	19	6	r
1734	III	MP	MP206	20	1054	25,93	132	6,6	52,7	1,3	24,6	265	62	0	15	18	6	r
1177	I	MP	MP207	20	1187	34,4	151	7,55	59,35	1,72	28,98	300	80	0	16	21	6	r
1289	II	MP	MP207	20	942	25,58	128	6,4	47,1	1,28	27,15	250	89	0	14	18	6	r
1574	III	MP	MP207	20	1025	30,45	130	6,5	51,25	1,52	29,71	275	85	0	14	18	6	r
1139	I	MP	MP21	20	495	24,94	183	9,15	24,75	1,25	50,38	200	94	4	13	19	2	w
1481	II	MP	MP21	20	535	24,86	190	9,5	26,75	1,24	46,47	240	93	2	14	18	2	w
1543	III	MP	MP21	20	520	27,14	184	9,2	26	1,36	52,19	220	90	5	13	19	2	w
1207	I	MP	MP23	20	470	26,89	150	7,5	23,5	1,34	57,21	210	94	0	15	22	2	w
1331	II	MP	MP23	20	454	25,36	149	7,45	22,7	1,27	55,86	220	82	0	12	17	2	w
1541	III	MP	MP23	20	463	26,44	147	7,35	23,15	1,32	57,11	215	103	0	13	18	2	w
1137	I	MP	MP24	20	1278	53,53	137	6,85	63,9	2,68	41,89	250	90	3	13	19	6	w
1267	II	MP	MP24	20	1287	53,76	128	6,4	64,35	2,69	41,77	180	89	5	14	19	6	w
1580	III	MP	MP24	20	1266	49,42	103	5,15	63,3	2,47	39,04	215	85	0	13	18	6	w
1179	I	MP	MP25	20	1122	36,11	112	5,6	56,1	1,81	32,18	270	81	1	13	21	6	w
1301	II	MP	MP25	20	1165	37,35	115	5,75	58,25	1,87	32,06	300	91	0	12	16	6	w
1603	III	MP	MP25	20	1237	44,86	111	5,55	61,85	2,24	36,27	285	75	0	13	19	6	w
986	I	MP	MP26	20	435	20,19	160,5	8,03	21,75	1,01	46,41	300	73	0	14	19	2	r
1491	II	MP	MP26	20	419	19,5	165	8,25	20,95	0,98	46,54	320	70	0	14	19	2	r
1767	III	MP	MP26	20	444	20,89	170	8,5	22,2	1,04	47,05	175	63	0	13	19	2	r
1094	I	MP	MP27	20	439	18,94	161	8,05	21,95	0,95	43,14	300	71	0	12	18	2	r
1444	II	MP	MP27	20	472	21,59	173	8,65	23,6	1,08	45,74	230	76	0	15	19	2	r
1737	III	MP	MP27	20	459	19,56	170	8,5	22,95	0,98	42,61	265	80	0	13	19	2	r
1002	I	MP	MP28	20	1237	43,19	170	8,5	61,85	2,16	34,92	350	66	0	15	19	6	r
1465	II	MP	MP28	20	902	27,48	131	6,55	45,1	1,37	30,47	250	70	0	15	18	6	r
1762	III	MP	MP28	20	1185	38,14	162	8,1	59,25	1,91	32,19	275	70	0	13	19	6	r
1052	I	MP	MP3	20	1075	32,9	163	8,15	53,75	1,65	30,6	300	70	0	13	17	6	r
1325	II	MP	MP3	20	1172	38,46	157	7,85	58,6	1,92	32,82	350	63	0	12	17	6	r
1620	III	MP	MP3	20	1160	37,06	145	7,25	58	1,85	31,95	275	62	0	12	16	6	r
1144	I	MP	MP30	20	570	29,93	211	10,55	28,5	1,5	52,51	210	94	1	13	19	2	w
1314	II	MP	MP30	20	573	31,13	208	10,4	28,65	1,56	54,33	280	80	3	13	19	2	w
1540	III	MP	MP30	20	408	23,73	197	9,85	20,4	1,19	58,16	245	86	5	15	19	2	w
985	I	MP	MP31	20	454	24,03	132	6,6	22,7	1,2	52,93	300	78	0	12	17	2	w
1406	II	MP	MP31	20	378	22,59	131,5	6,58	18,9	1,13	59,76	200	73	0	12	18	2	w
1761	III	MP	MP31	20	441	23,68	125	6,25	22,05	1,18	53,7	240	69	0	12	17	2	w
1140	I	MP	MP32	20	492	21,89	152,5	7,63	24,6	1,09	44,49	250	71	0	19	22	2	r
1261	II	MP	MP32	20	495	26,22	153,5	7,68	24,75	1,31	52,97	280	72	0	16	22	2	r
1534	III	MP	MP32	20	497	26,9	148	7,4	24,85	1,35	54,12	265	77	0	16	21	2	r
980	I	MP	MP33	20	501	27,82	159,5	7,98	25,05	1,39	55,53	350	77	0	14	19	2	w
1473	II	MP	MP33	20	485	25,9	177	8,85	24,25	1,3	53,4	310	84	0	14	19	2	w
1776	III	MP	MP33	20	495	26,5	170	8,5	24,75	1,33	53,54	280	78	0	13	19	2	w
1048	I	MP	MP34	20	430	18,25	150	7,5	21,5	0,91	42,44	300	74	0	13	19	2	r
1405	II	MP	MP34	20	424	18,11	142	7,1	21,2	0,91	42,71	400	70	0	12	18	2	r
1748	III	MP	MP34	20	428	15,96	154,5	7,73	21,4	0,8	37,29	350	74	2	12	18	2	r
1113	I	MP	MP35	20	1187	39,02	120	6	59,35	1,95	32,87	250	72	0	13	19	6	r
1404	II	MP	MP35	20	1131	37,16	118	5,9	56,55	1,86	32,86	240	59	0	13	18	6	r
1721	III	MP	MP35	20	1015	32,25	115	5,75	50,75	1,61	31,77	245	68	0	11	18	6	r
1024	I	MP	MP36	20	498	26,84	151	7,55	24,9	1,34	53,9	250	78	0	11	18	2	w
1457	II	MP	MP36	20	479	26,5	158	7,9	23,95	1,33	55,32	200	84	0	12	16	2	w
1724	III	MP	MP36	20	458	26,37	146	7,3	22,9	1,32	57,58	225	73	0	14	20	2	w
1045	I	MP	MP37	20	424	20,66	126	6,3	21,2	1,03	48,73	200	79	0	8	17	2	w
1470	II	MP	MP37	20	447	23,2	146,5	7,33	22,35	1,16	51,9	250	81	0	7	19	2	w
1764	III	MP	MP37	20	436	21,75	135	6,75	21,8	1,09	49,89	225	78	0	8	16	2	w
1060	I	MP	MP38	20	1330	49,94	145	7,25	66,5	2,5	37,55	150	70	2	13	17	6	w
1280	II	MP	MP38	20	1321	52,06	141	7,05	66,05	2,6	39,41	150	87	3	12	18	6	w
1583	III	MP	MP38	20	1258	44,86	141	7,05	62,9	2,24	35,66	150	75	0	13	19	6	w
1164	I	MP	MP39	20	1238	46,38	165	8,25	61,9	2,32	37,46	300	78	0	16	19	6	w
1290	II	MP	MP39	20	1153	41,96	155	7,75	57,65	2,1	36,39	200	68	0	16	19	6	w
1526	III	MP	MP39	20	1108	38,21	138	6,9	55,4	1,91	34,49	250	73	0	16	19	6	w
994	I	MP	MP40	20	493	24,75	139,5	6,98	24,65	1,24	50,2	300	85	0	10	17	2	w
1432	II	MP	MP40	20	450	21,6	132	6,6	22,5	1,08	48	300	83	0	12	16	2	w
1671	III	MP	MP40	20	475	23,1	135	6,75	23,75	1,16	48,63	300	77	0	11	17	2	w
1330	II	MP	MP42	20	505	25,43	137	6,85	25,25	1,27	50,36	250	85	0	11	17	2	w
1507	II	MP	MP42	20	480	25,37	139	6,95	24	1,27	52,85	300	82	1	11	16	2	w
1664	III	MP	MP42	20	493	25,4	130	6,5	24,65	1,27	51,52	275	86	1	10	16	2	w
1149	I	MP	MP44	20	352	18,85	139	6,95	17,6	0,94	53,55	240	99	0	14	19	2	w
1253	II	MP	MP44	20	454	25,46	114,5	5,73	22,7	1,27	56,08	250	87	1	14	18	2	w
1702	III	MP	MP44	20	377	20,74	154	7,7	18,85	1,04	55,01	195	95	2	14	19	2	w
1044	I	MP	MP45	20	491	21,95	136,5	6,83	24,55	1,1	44,7	200	90	0	11	18	2	w
1456	II	MP	MP45	20	466	19,83	145	7,25	23,3	0,99	42,55	220	98	0	11	17	2	w
1766	III	MP	MP45	20	481	18,9	140	7	24,05	0,95	39,29	210	83	0	11	17	2	w
1110	I	MP	MP46	20	316	16,49	137	6,85	15,8	0,82	52,18	200	100	0	13	21	2	w
1452	II	MP	MP46	20	331	17,4	125	6,25	16,55	0,87	52,57	250	90	0	13	19	2	w
1733	III	MP	MP46	20	325	16,99	130	6,5	16,25	0,85	52,28	225	87	0	13	18	2	w
1104	I	MP	MP47	20	481	20,01	153	7,65	24,05	1	41,6	330	74	0	12	18	2	r
1454	II	MP	MP47	20	453	18,14	160	8	22,65	0,91	40,04	290	75	0	12	17	2	r
1744	III	MP	MP47	20	464	19,77	156	7,8	23,2	0,99	42,61	310	80	0	13	19	2	r
